Country,Code,Year, Ambient pollution,Underweight,Household air pollution,No handwashing facility,Secondhand smoke,Vitamin A deficiency,Zinc deficiency ,Short gestation,Non-exclusive breastfeeding,Low birth weight,Child wasting , Child stunting
Albania,ALB,2012,10.56,3.31,11.64,0.97,14.13,5.95,0.59,8.1,8.46,6.22,42.34,9.84
Albania,ALB,2013,10.01,3.15,10.96,0.91,13.62,5.72,0.57,7.63,8.26,5.84,40.96,9.43
Albania,ALB,2014,9.34,3.01,10.31,0.86,13.21,5.52,0.56,7.25,8.1,5.53,39.72,9.06
Albania,ALB,2015,9.37,2.87,9.58,0.81,12.73,5.32,0.54,6.76,7.87,5.14,38.42,8.71
Albania,ALB,2016,8.61,2.75,9.09,0.76,12.36,5.12,0.53,6.5,7.69,4.93,37.11,8.37
Albania,ALB,2017,8.38,2.63,8.54,0.72,11.98,4.94,0.52,6.15,7.48,4.66,35.87,8.05
Algeria,DZA,1990,1025.05,613.84,68.13,177.83,663.46,279.12,74.34,224.79,493.95,147.41,2700.04,767.33
Algeria,DZA,1991,953.05,556.31,54.4,157.17,596.43,248.59,65.96,207.68,444.29,138.13,2457.91,687.69
Algeria,DZA,1992,883.57,506.65,43.76,140.18,540.42,223.08,59.56,193.58,401.65,130.6,2254.81,620.21
Algeria,DZA,1993,817.27,464.28,40.11,129.82,494.11,201.62,54.47,182.28,366.02,124.55,2086.65,563.65
Algeria,DZA,1994,753.28,426.34,37.09,120.94,453.34,182.5,50.14,172.76,334.65,119.32,1937.93,512.69
Algeria,DZA,1995,689.14,390.62,33.67,112.24,415.73,165,46.45,163.65,306.65,114.01,1798.06,465.86
Algeria,DZA,1996,654.2,358.98,30.69,104.47,383.73,149.84,42.51,157.34,286.56,110.48,1679.71,424.93
Algeria,DZA,1997,637.16,341.62,28.49,100.6,365.68,140.21,43.14,152.31,273.74,107.82,1628.18,400.85
Algeria,DZA,1998,606.18,316.08,26.13,95.24,342.8,129.01,39,149.95,262.15,106.9,1545.24,368.23
Algeria,DZA,1999,578.34,293.98,24.33,90.92,324.98,119.85,35.15,150.12,253.27,108.1,1477.66,340.62
Algeria,DZA,2000,544.53,270.91,20.97,86.08,307.13,110.52,31.62,150.69,242.43,110.26,1400.52,312.83
Algeria,DZA,2001,510.59,238.58,17.52,78.7,280.87,98.31,27.45,146.34,222.57,109.01,1279.11,275.83
Algeria,DZA,2002,473.4,206.53,14.37,71.78,256.78,87.23,23.68,142.44,204.44,107.71,1165.25,240.69
Algeria,DZA,2003,439.08,179.11,12.06,65.54,237.04,78.14,20.85,138.21,189.84,105.85,1072.97,211.32
Algeria,DZA,2004,416.81,160.35,10.4,61.69,225.57,72.42,19.69,134.77,180.82,104.56,1022.81,192.42
Algeria,DZA,2005,390.41,143.06,9.01,57.56,213.58,67.1,17.96,130.61,171.68,103.26,968.99,175
Algeria,DZA,2006,379.12,128.81,7.62,54.15,203.22,62.61,16.78,126.49,163.15,102.16,921.72,160.83
Algeria,DZA,2007,365.54,115.8,6.46,51.02,193.95,58.55,15.71,123.05,154.31,101.48,876,148.54
Algeria,DZA,2008,340.23,100.95,5.29,46.6,180.09,53.16,14.36,117.47,141.44,98.77,806.54,133.31
Algeria,DZA,2009,314.75,88.31,4.42,42.86,167.47,48.4,12.98,113.17,130.31,96.29,742.66,120.33
Algeria,DZA,2010,290.77,78.55,3.67,39.69,156.72,44.59,11.93,108.93,121.4,92.71,690.64,110.04
Algeria,DZA,2011,278.46,70.67,3.02,36.95,147.55,41.47,11.25,105.52,114.59,89.39,647.18,101.9
Algeria,DZA,2012,260.19,63.32,2.51,34.28,137.73,38.4,10.46,100.42,107.94,84.66,603.63,93.92
Algeria,DZA,2013,265.06,60.71,2.24,34.06,137.45,38.02,10.32,102.54,109.14,86.16,601.37,92.62
Algeria,DZA,2014,273.67,58.73,2,34.24,138.51,37.89,10.3,107.12,111.52,89.88,602.9,91.88
Algeria,DZA,2015,266.38,53.91,1.68,32.53,132,35.78,9.88,105.42,107.4,88.43,571.59,86.46
Algeria,DZA,2016,249.62,46.38,1.29,28.76,117.19,31.48,8.92,96.3,96.62,80.82,504.99,76.07
Algeria,DZA,2017,215.02,38.96,0.99,24.58,100.39,26.93,7.68,84.02,83.86,70.41,432.36,65.13
American Samoa,ASM,1990,0.28,0.11,0.54,0.1,0.22,0.2,0.04,0.38,0.23,0.2,1.76,0.24
American Samoa,ASM,1991,0.28,0.11,0.51,0.1,0.22,0.2,0.04,0.37,0.23,0.2,1.73,0.24
American Samoa,ASM,1992,0.28,0.11,0.49,0.1,0.21,0.19,0.04,0.36,0.23,0.19,1.7,0.23
American Samoa,ASM,1993,0.28,0.1,0.47,0.09,0.21,0.19,0.04,0.36,0.23,0.19,1.68,0.23
American Samoa,ASM,1994,0.28,0.1,0.44,0.09,0.2,0.19,0.04,0.35,0.22,0.19,1.66,0.22
American Samoa,ASM,1995,0.28,0.1,0.42,0.09,0.19,0.18,0.04,0.35,0.22,0.18,1.62,0.22
American Samoa,ASM,1996,0.28,0.09,0.4,0.08,0.19,0.18,0.04,0.34,0.22,0.18,1.58,0.21
American Samoa,ASM,1997,0.29,0.09,0.37,0.07,0.18,0.17,0.03,0.33,0.21,0.17,1.53,0.2
American Samoa,ASM,1998,0.31,0.09,0.36,0.07,0.18,0.17,0.04,0.32,0.22,0.17,1.54,0.21
American Samoa,ASM,1999,0.32,0.09,0.35,0.07,0.18,0.17,0.04,0.31,0.21,0.17,1.53,0.2
American Samoa,ASM,2000,0.32,0.09,0.32,0.06,0.17,0.16,0.04,0.3,0.21,0.16,1.47,0.2
American Samoa,ASM,2001,0.31,0.08,0.31,0.06,0.17,0.16,0.03,0.29,0.2,0.15,1.43,0.19
American Samoa,ASM,2002,0.31,0.08,0.29,0.05,0.16,0.15,0.03,0.28,0.2,0.14,1.4,0.19
American Samoa,ASM,2003,0.3,0.08,0.27,0.05,0.16,0.15,0.03,0.27,0.2,0.14,1.36,0.18
American Samoa,ASM,2004,0.3,0.08,0.26,0.05,0.15,0.14,0.03,0.25,0.19,0.13,1.33,0.18
American Samoa,ASM,2005,0.28,0.07,0.23,0.04,0.14,0.13,0.03,0.23,0.19,0.11,1.26,0.17
American Samoa,ASM,2006,0.27,0.07,0.22,0.04,0.14,0.13,0.03,0.22,0.18,0.1,1.21,0.16
American Samoa,ASM,2007,0.25,0.06,0.19,0.04,0.13,0.12,0.02,0.2,0.16,0.09,1.12,0.15
American Samoa,ASM,2008,0.24,0.06,0.18,0.03,0.12,0.11,0.02,0.19,0.16,0.09,1.06,0.14
American Samoa,ASM,2009,0.23,0.06,0.16,0.03,0.12,0.1,0.02,0.18,0.15,0.08,1.01,0.13
American Samoa,ASM,2010,0.21,0.05,0.14,0.03,0.11,0.1,0.02,0.17,0.14,0.08,0.94,0.12
American Samoa,ASM,2011,0.2,0.05,0.13,0.03,0.1,0.09,0.02,0.16,0.13,0.07,0.86,0.11
American Samoa,ASM,2012,0.18,0.04,0.11,0.02,0.1,0.08,0.02,0.15,0.12,0.07,0.8,0.1
American Samoa,ASM,2013,0.17,0.04,0.11,0.02,0.09,0.08,0.02,0.14,0.11,0.07,0.76,0.1
American Samoa,ASM,2014,0.16,0.04,0.1,0.02,0.09,0.07,0.02,0.14,0.11,0.06,0.73,0.09
American Samoa,ASM,2015,0.15,0.04,0.09,0.02,0.08,0.07,0.02,0.14,0.1,0.06,0.71,0.09
American Samoa,ASM,2016,0.14,0.04,0.08,0.02,0.08,0.07,0.02,0.13,0.1,0.06,0.68,0.09
American Samoa,ASM,2017,0.14,0.04,0.08,0.02,0.08,0.06,0.02,0.13,0.1,0.06,0.66,0.08
Andorra,AND,1990,0.02,0,0,0,0.03,0.01,0.01,0.01,0.01,0.01,0.06,0.01
Andorra,AND,1991,0.02,0,0,0,0.03,0.01,0.01,0.01,0.01,0.01,0.06,0.01
Andorra,AND,1992,0.02,0,0,0,0.03,0.01,0.01,0.01,0.01,0.01,0.07,0.01
Andorra,AND,1993,0.02,0,0,0,0.03,0.01,0.01,0.01,0.01,0.01,0.06,0.01
Andorra,AND,1994,0.02,0,0,0,0.03,0.01,0.01,0.01,0.01,0.01,0.06,0
Andorra,AND,1995,0.02,0,0,0,0.02,0.01,0.01,0.01,0.01,0.01,0.06,0
Andorra,AND,1996,0.02,0,0,0,0.02,0.01,0.01,0.01,0.01,0,0.05,0
Andorra,AND,1997,0.02,0,0,0,0.02,0.01,0.01,0.01,0.01,0,0.05,0
Andorra,AND,1998,0.02,0,0,0,0.02,0.01,0.01,0.01,0.01,0,0.05,0
Andorra,AND,1999,0.01,0,0,0,0.02,0.01,0,0,0,0,0.04,0
Andorra,AND,2000,0.01,0,0,0,0.02,0.01,0,0,0,0,0.04,0
Andorra,AND,2001,0.01,0,0,0,0.01,0,0,0,0,0,0.04,0
Andorra,AND,2002,0.01,0,0,0,0.01,0,0,0,0,0,0.03,0
Andorra,AND,2003,0.01,0,0,0,0.01,0,0,0,0,0,0.03,0
Andorra,AND,2004,0.01,0,0,0,0.02,0,0,0,0,0,0.04,0
Andorra,AND,2005,0.01,0,0,0,0.02,0.01,0,0.01,0.01,0,0.04,0
Andorra,AND,2006,0.01,0,0,0,0.02,0.01,0,0.01,0.01,0,0.04,0
Andorra,AND,2007,0.01,0,0,0,0.02,0.01,0,0.01,0.01,0,0.04,0
Andorra,AND,2008,0.01,0,0,0,0.02,0.01,0,0,0,0,0.04,0
Andorra,AND,2009,0.01,0,0,0,0.01,0,0,0,0,0,0.04,0
Andorra,AND,2010,0.01,0,0,0,0.01,0,0,0,0,0,0.03,0
Andorra,AND,2011,0.01,0,0,0,0.01,0,0,0,0,0,0.03,0
Andorra,AND,2012,0.01,0,0,0,0.01,0,0,0,0,0,0.03,0
Andorra,AND,2013,0.01,0,0,0,0.01,0,0,0,0,0,0.02,0
Andorra,AND,2014,0.01,0,0,0,0.01,0,0,0,0,0,0.02,0
Andorra,AND,2015,0.01,0,0,0,0.01,0,0,0,0,0,0.02,0
Andorra,AND,2016,0,0,0,0,0.01,0,0,0,0,0,0.02,0
Andorra,AND,2017,0,0,0,0,0.01,0,0,0,0,0,0.02,0
Angola,AGO,1990,1105.08,3820.98,9042.55,2830.69,1694.05,2003.94,1483.24,2456.89,1668.28,971.44,11474.31,4859.22
Angola,AGO,1991,1152.61,3885.65,9185.3,2894.78,1751.4,2103.11,1539.92,2494.88,1705.19,984.22,11758.08,4959.84
Angola,AGO,1992,1186.93,3897.82,9246.54,2930.84,1791.69,2174.03,1586.77,2511.21,1728.59,988.51,11899.52,5004.67
Angola,AGO,1993,1209.71,3914.08,9384.62,2981.6,1841.21,2246.15,1638.44,2546.16,1762.5,1001.26,12075.11,5068.91
Angola,AGO,1994,1257.79,3913.02,9431.24,3027.66,1887.16,2304.76,1689.51,2576.05,1792.83,1012.94,12219.92,5121.91
Angola,AGO,1995,1277.93,3879.41,9461.49,3054.84,1921.47,2337.39,1727.25,2592.2,1813.22,1020.36,12276.98,5139.71
Angola,AGO,1996,1327.59,3819.83,9434.62,3073.24,1949.32,2357.09,1665.03,2582.32,1830.5,1022.66,12279.91,5146.91
Angola,AGO,1997,1374.09,3709.14,9309.91,3074.9,1963.8,2352.34,1590.98,2559.84,1839.48,1023.77,12154.13,5109.88
Angola,AGO,1998,1417.25,3591.67,9168.13,3067.92,1974.34,2340.24,1532.52,2498.02,1827.77,1013.84,12021.28,5073.02
Angola,AGO,1999,1458.4,3476.59,8984.71,3056.18,1981.77,2323.49,1468.79,2416.32,1808.21,998.52,11887.33,5032.4
Angola,AGO,2000,1473.88,3370.89,8792.13,3036.14,1986.4,2297.52,1407.78,2327.63,1779.7,979.3,11750.92,4979.45
Angola,AGO,2001,1507.04,3238.48,8458.45,2977.06,1971.77,2223.48,1246.2,2222.55,1721.16,951.54,11476.05,4859.87
Angola,AGO,2002,1511.66,3103.64,8152.58,2915.85,1961.4,2121.05,1097.32,2138.3,1666.8,925.94,11178.49,4724.17
Angola,AGO,2003,1522.15,2946.2,7726.11,2831.2,1936.09,1986.96,954.88,2060.48,1600.02,901.7,10780.23,4542.03
Angola,AGO,2004,1577.79,3009.56,7830.34,2912.83,2022.79,1987.99,916.18,1975.71,1589.87,873.88,11171.6,4684.71
Angola,AGO,2005,1573.99,2859.8,7373.93,2816.65,1978.9,1863.52,800.22,1879.67,1513.07,842,10771.21,4482.07
Angola,AGO,2006,1568.26,2681,6826.13,2682.76,1902.88,1729.88,697.39,1767.54,1418.86,803.58,10236.53,4216.96
Angola,AGO,2007,1566.91,2524.99,6325.99,2561.94,1835.95,1611.75,613.22,1668.23,1328.42,771.7,9763.75,3972.08
Angola,AGO,2008,1510.48,2323.52,5794.96,2398.43,1733.74,1468.29,524.85,1568.48,1219.51,739.65,9099.17,3650.18
Angola,AGO,2009,1438.14,2080.15,5132.93,2197.11,1598.65,1304.62,432.53,1482.28,1099.52,717.13,8261.72,3261.33
Angola,AGO,2010,1393.4,1915.74,4668.11,2064.37,1507.74,1191.59,375.76,1398.86,997.11,696.95,7726.36,3005.43
Angola,AGO,2011,1305.21,1706.79,4145.31,1891.57,1380.3,1056.1,329.97,1319.09,886.25,676.29,7000.34,2683.19
Angola,AGO,2012,1274.51,1533.14,3710.14,1749.88,1272.06,943.92,292.97,1254.09,794.71,660.07,6401.4,2417.41
Angola,AGO,2013,1238.1,1356.42,3304.57,1600.29,1154.69,832.88,256.31,1185.21,708.69,639.05,5775.76,2148.01
Angola,AGO,2014,1128.83,1201.5,2960.75,1465.28,1047.03,736.88,221.91,1124.35,641.09,617,5224.35,1908.86
Angola,AGO,2015,1098.1,1100.87,2720.79,1380.75,973.55,675.26,201.34,1065.65,597.82,591.47,4893.61,1759.48
Angola,AGO,2016,1025.22,983.02,2467.09,1276.31,885.83,604.91,176.21,1014.42,557.94,569.02,4477.48,1579.67
Angola,AGO,2017,981.22,877.44,2254.74,1187.07,807.48,541.9,155.58,983.28,524.08,555.34,4100.36,1419.73
Antigua and Barbuda,ATG,1990,0.26,0.05,0.05,0.09,0.08,0.04,0.03,0.24,0.12,0.11,0.56,0.09
Antigua and Barbuda,ATG,1991,0.26,0.04,0.04,0.08,0.08,0.04,0.03,0.25,0.12,0.11,0.55,0.08
Antigua and Barbuda,ATG,1992,0.27,0.04,0.04,0.08,0.08,0.04,0.02,0.27,0.13,0.13,0.55,0.08
Antigua and Barbuda,ATG,1993,0.29,0.04,0.04,0.09,0.09,0.04,0.02,0.3,0.14,0.14,0.57,0.08
Antigua and Barbuda,ATG,1994,0.3,0.04,0.04,0.09,0.09,0.05,0.02,0.32,0.15,0.15,0.58,0.08
Antigua and Barbuda,ATG,1995,0.32,0.04,0.04,0.09,0.09,0.05,0.02,0.34,0.16,0.16,0.61,0.08
Antigua and Barbuda,ATG,1996,0.34,0.04,0.04,0.1,0.1,0.05,0.02,0.36,0.17,0.17,0.64,0.09
Antigua and Barbuda,ATG,1997,0.36,0.05,0.04,0.1,0.11,0.05,0.03,0.37,0.18,0.18,0.67,0.09
Antigua and Barbuda,ATG,1998,0.37,0.05,0.04,0.1,0.11,0.05,0.03,0.38,0.19,0.18,0.7,0.09
Antigua and Barbuda,ATG,1999,0.39,0.05,0.04,0.11,0.11,0.05,0.03,0.39,0.19,0.18,0.73,0.1
Antigua and Barbuda,ATG,2000,0.39,0.05,0.04,0.11,0.11,0.06,0.03,0.39,0.2,0.18,0.75,0.1
Antigua and Barbuda,ATG,2001,0.42,0.05,0.04,0.11,0.12,0.06,0.03,0.4,0.21,0.19,0.79,0.1
Antigua and Barbuda,ATG,2002,0.42,0.05,0.04,0.11,0.12,0.06,0.03,0.4,0.21,0.18,0.8,0.1
Antigua and Barbuda,ATG,2003,0.42,0.05,0.03,0.11,0.12,0.06,0.03,0.39,0.21,0.18,0.81,0.1
Antigua and Barbuda,ATG,2004,0.44,0.05,0.03,0.11,0.12,0.06,0.03,0.38,0.22,0.17,0.84,0.11
Antigua and Barbuda,ATG,2005,0.43,0.05,0.03,0.11,0.12,0.06,0.03,0.36,0.21,0.16,0.85,0.11
Antigua and Barbuda,ATG,2006,0.42,0.05,0.03,0.11,0.11,0.06,0.03,0.34,0.21,0.15,0.83,0.11
Antigua and Barbuda,ATG,2007,0.42,0.05,0.03,0.11,0.11,0.05,0.03,0.33,0.21,0.14,0.83,0.1
Antigua and Barbuda,ATG,2008,0.41,0.05,0.02,0.1,0.11,0.05,0.03,0.31,0.2,0.13,0.81,0.1
Antigua and Barbuda,ATG,2009,0.4,0.05,0.02,0.1,0.1,0.05,0.03,0.3,0.19,0.12,0.79,0.1
Antigua and Barbuda,ATG,2010,0.39,0.05,0.02,0.1,0.1,0.05,0.03,0.29,0.19,0.11,0.79,0.1
Antigua and Barbuda,ATG,2011,0.39,0.05,0.02,0.1,0.1,0.05,0.03,0.28,0.18,0.11,0.78,0.1
Antigua and Barbuda,ATG,2012,0.37,0.05,0.02,0.09,0.1,0.05,0.03,0.27,0.17,0.1,0.76,0.09
Antigua and Barbuda,ATG,2013,0.35,0.05,0.02,0.09,0.09,0.05,0.03,0.26,0.17,0.1,0.75,0.09
Antigua and Barbuda,ATG,2014,0.32,0.04,0.02,0.09,0.09,0.04,0.03,0.25,0.16,0.1,0.71,0.09
Antigua and Barbuda,ATG,2015,0.31,0.04,0.02,0.09,0.09,0.04,0.03,0.25,0.16,0.1,0.69,0.08
Antigua and Barbuda,ATG,2016,0.28,0.04,0.01,0.08,0.08,0.04,0.03,0.24,0.15,0.09,0.66,0.08
Antigua and Barbuda,ATG,2017,0.28,0.04,0.01,0.08,0.08,0.04,0.03,0.23,0.15,0.09,0.63,0.08
Argentina,ARG,1990,195.24,73.1,90.82,78.71,304.75,104.22,18.46,52.78,162.17,24.47,811.37,118.93
Argentina,ARG,1991,190.45,68.46,93.65,72.86,297.27,96.27,17.81,52.66,155.04,24.81,800.71,114.9
Argentina,ARG,1992,179.27,61.24,83.17,62.2,276.71,85.02,16.34,51.09,143.07,24.37,753.69,106.09
Argentina,ARG,1993,171.96,56.05,76.04,54.36,263.99,77.09,15.14,53.66,136.21,25.8,724.09,100.08
Argentina,ARG,1994,163.33,51.45,68.9,47.18,250.78,70.51,13.85,53.6,129.38,25.86,697.59,94.72
Argentina,ARG,1995,164.94,50.65,66.37,44.09,255.16,69.95,13.62,58.04,132.55,28.37,719.61,95.97
Argentina,ARG,1996,168.55,48.84,63.19,40.56,254.25,68.34,13.8,64.3,132.2,32.1,724.73,95.3
Argentina,ARG,1997,155.94,42.54,55.71,34.4,231.14,60.37,13.38,70.73,117.98,37.05,657.37,86
Argentina,ARG,1998,158.87,41.23,53.62,32.58,232.37,59.44,13.58,81.55,117.8,43.89,663.63,85.88
Argentina,ARG,1999,140.46,35.41,45.7,27.31,204.25,51.77,11.87,76.88,103.54,42.02,590.79,75.56
Argentina,ARG,2000,131.49,32.65,41.58,24.64,191.39,48.28,10.95,74.59,97.67,41.16,561.15,71.1
Argentina,ARG,2001,128.82,30.76,38.81,22.81,181.47,45.53,10.31,71.92,93.37,40.04,541.08,68.1
Argentina,ARG,2002,137.17,31.59,37.69,23.29,186.82,46.3,10.58,77.77,98.2,43.45,568.41,70.87
Argentina,ARG,2003,136.28,30.69,34.22,22.37,180.24,44.3,10.3,76.41,97.62,42.26,565.07,69.61
Argentina,ARG,2004,117.83,25.89,26.88,18.69,152.32,36.86,9.16,68.52,84.1,37.41,485.24,59.25
Argentina,ARG,2005,101.85,22.03,20.97,15.69,130.22,31.26,8.27,60.78,72.29,33.06,418.76,50.88
Argentina,ARG,2006,103.45,21.54,19.18,15.12,127.3,30.68,8.36,59.59,72.46,32.04,416.01,50.09
Argentina,ARG,2007,115.81,23.6,19.45,16.26,138.31,33.73,9.03,62.23,81.75,33.01,464.21,55.2
Argentina,ARG,2008,117.17,23.34,17.61,15.91,136.63,33.57,9.1,60.25,82.43,32,465.33,54.88
Argentina,ARG,2009,111.68,21.79,15.35,14.79,128.43,31.57,9.1,57.1,77.95,30.3,437.66,51.29
Argentina,ARG,2010,104.24,20.04,13.17,13.52,119.73,29.39,8.78,54.74,72.97,29.22,406.1,47.36
Argentina,ARG,2011,102.24,18.64,11.22,12.36,113.02,27.8,8.5,52.62,69.02,28,380.94,44.22
Argentina,ARG,2012,85.39,16.29,9.16,10.66,99.75,24.72,7.68,46.24,61.16,24.47,335.27,38.68
Argentina,ARG,2013,79.86,15.5,8.14,10.04,95.92,23.97,7.62,44.22,58.83,23.15,320.74,36.9
Argentina,ARG,2014,71.15,14.43,7.18,9.2,90.16,22.79,7.49,40.72,54.66,21.42,299.54,34.39
Argentina,ARG,2015,64.31,12.73,5.92,8.16,80.61,20.55,7.07,36.66,48.41,19,264.28,30.3
Argentina,ARG,2016,59.53,12.24,5.29,7.87,78.57,20.25,7.05,36.03,47.15,18.5,255.06,29.2
Argentina,ARG,2017,56.61,11.79,4.86,7.6,76.51,19.95,6.81,35.23,46.09,17.92,246.38,27.98
